"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026070",4.12094747216606,-0.234896602557157,1.13149179469356,-0.207599033116077,0.835542059379956,0.99926898042189
"ENSMUSG00000026072",593.358762423707,-0.22872327504886,0.196985904977687,-1.16111492888168,0.245595164370753,0.932279332064643
"ENSMUSG00000026073",2.03565638978425,-2.33235237562987,1.80988033863824,-1.28867766881469,0.197510169102948,NA
"ENSMUSG00000026074",111.287888873039,-0.351121493154941,0.246507929527089,-1.42438214392757,0.15433588027861,0.842383605179759
"ENSMUSG00000026077",9.80569516549354,-1.91211181998949,0.85152238562204,-2.24552149453203,0.024734673940132,0.373458384886728
"ENSMUSG00000026078",115.142515595748,-0.213451579060249,0.22800983745863,-0.936150744368549,0.34919557932046,0.973896444169266
"ENSMUSG00000026082",115.136930978319,0.190432023559763,0.255527504040922,0.745250591612504,0.456120243858433,0.995523932141239
"ENSMUSG00000026083",893.26971714592,-0.000713853054855069,0.125002836279142,-0.00571069486184276,0.995443549504147,0.999966286131507
"ENSMUSG00000026087",347.158459578955,-0.0681640342858025,0.171775228240088,-0.396821095708459,0.691499393133818,0.99926898042189
"ENSMUSG00000026088",78.2730094817398,0.0977925662737347,0.271022651486872,0.360828018386026,0.718228016202695,0.99926898042189
"ENSMUSG00000026090",2.34310382615214,-0.0891165923008772,1.5823430178281,-0.0563193892201686,0.955087372984166,0.999444052881474
"ENSMUSG00000026094",92.5994644841263,-0.345106536078862,0.276796969524843,-1.2467858180358,0.212476041936835,0.90883981871687
"ENSMUSG00000026095",344.16923390884,-0.0169849332664076,0.217144963708705,-0.0782193285826905,0.937653587135575,0.999444052881474
"ENSMUSG00000026096",216.456271531445,0.032136040084971,0.210952773920979,0.152337603756796,0.878920667507519,0.99926898042189
"ENSMUSG00000026097",329.003867410912,-0.127026488890061,0.212388916456645,-0.59808435868164,0.549783646331937,0.998756100934664
"ENSMUSG00000026098",77.5360992857065,-0.158420377252936,0.294042683924971,-0.53876660061149,0.590047912166613,0.99926898042189
"ENSMUSG00000026102",58.8610583752274,-0.117805231583267,0.310110399667017,-0.379881589620215,0.704033314072629,0.99926898042189
"ENSMUSG00000026103",70.7403574432841,0.0472118324025373,0.433386958545418,0.10893690147252,0.91325253765886,0.999444052881474
"ENSMUSG00000026104",775.526815723912,0.130406583107123,0.151894500217972,0.858533935856705,0.390597699949467,0.981611386655388
"ENSMUSG00000026107",289.379438947362,-0.289204475417948,0.222456819587914,-1.30004769444101,0.193584623019576,0.886516230335559
"ENSMUSG00000026110",25.4783909942521,0.858284593766327,0.578456258506564,1.48375020780692,0.137875201064309,0.80709687242413
"ENSMUSG00000026111",211.225887458295,-0.212120170217669,0.18216333587428,-1.1644504049051,0.244241530881848,0.932279332064643
